,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,,,,2697590.0,613.0,4400.636215334421,,,,,,,2697590.0,613.0,4400.636215334421,,,,2281290.0,566.0,4030.547703180212,,,,,,,,,
20170104,42718121.0,18592.0,2297.6614135111877,38258934.0,11375.0,3363.422769230769,33937223.0,14077.0,2410.827804219649,8780898.0,4515.0,1944.827906976744,28700667.0,8052.0,3564.4146795827123,9558267.0,3323.0,2876.396930484502,23681645.0,6129.0,3863.8676782509383,14577289.0,5246.0,2778.743614182234,15719540.0,9798.0,1604.3621147172892,26998581.0,8794.0,3070.113827609734
20170105,23281497.0,8685.0,2680.6559585492228,26296573.0,9830.0,2675.134587995931,13648951.0,5858.0,2329.9677364288154,9632546.0,2827.0,3407.338521400778,18887640.0,6749.0,2798.583493850941,7408933.0,3081.0,2404.7169750081143,16769280.0,5265.0,3185.0484330484333,9527293.0,4565.0,2087.030230010953,10207610.0,4795.0,2128.802919708029,13073887.0,3890.0,3360.8964010282775
20170106,16147549.0,6714.0,2405.0564492106046,20292168.0,6338.0,3201.6674029662354,2781953.0,1849.0,1504.5716603569497,13365596.0,4865.0,2747.296197327852,6563687.0,1606.0,4086.978206724782,13728481.0,4732.0,2901.2005494505493,14809751.0,3979.0,3721.9781352098516,5482417.0,2359.0,2324.042814752014,7596960.0,4097.0,1854.2738589211617,8550589.0,2617.0,3267.324799388613
20170109,25409061.0,10954.0,2319.614843892642,24779296.0,10827.0,2288.6576152212065,9969958.0,5057.0,1971.51631402017,15439103.0,5897.0,2618.128370357809,13869408.0,5220.0,2656.9747126436782,10909888.0,5607.0,1945.7620831103977,13875438.0,5143.0,2697.9268909196967,10903858.0,5684.0,1918.3423645320197,8946964.0,5070.0,1764.6871794871795,16462097.0,5884.0,2797.773113528212
20170110,8929720.0,6089.0,1466.5330924618163,14903180.0,6298.0,2366.3353445538264,2568824.0,2258.0,1137.6545615589016,6360896.0,3831.0,1660.3748368572174,5738661.0,1903.0,3015.5864424592746,9164519.0,4395.0,2085.214789533561,11122351.0,3936.0,2825.8005589430895,3780829.0,2362.0,1600.6896697713803,4518864.0,3629.0,1245.2091485257647,4410856.0,2460.0,1793.030894308943
20170111,7792022.0,3812.0,2044.0771248688352,8035896.0,3748.0,2144.0490928495196,3325764.0,2069.0,1607.4258095698406,4466258.0,1743.0,2562.3970166379804,3402818.0,1329.0,2560.4349134687736,4633078.0,2419.0,1915.2864820173625,5188831.0,2092.0,2480.3207456978967,2847065.0,1656.0,1719.2421497584542,3341876.0,1930.0,1731.5419689119171,4450146.0,1882.0,2364.5834218916048
20170112,11036556.0,4893.0,2255.5806253832006,10113259.0,4304.0,2349.734897769517,4733092.0,2348.0,2015.7972742759796,6303464.0,2545.0,2476.8031434184677,5161630.0,1938.0,2663.3797729618163,4951629.0,2366.0,2092.8271344040577,6991539.0,2481.0,2818.0326481257557,3121720.0,1823.0,1712.408118486012,5211148.0,2584.0,2016.6981424148607,5825408.0,2309.0,2522.9138155045475
