,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,2711281.0,1907.0,1421.7519664394338,4147483.0,1735.0,2390.480115273775,1085417.0,616.0,1762.0405844155844,1625864.0,1291.0,1259.3834237025562,1584227.0,537.0,2950.143389199255,2563256.0,1198.0,2139.6126878130217,1033932.0,1145.0,902.9973799126637,1677349.0,762.0,2201.245406824147,3037226.0,1027.0,2957.3768257059396,1110257.0,708.0,1568.1596045197741
20170104,5663106.0,3089.0,1833.3136937520233,6547009.0,2365.0,2768.29133192389,4111098.0,2185.0,1881.5093821510297,1552008.0,904.0,1716.8230088495575,4767275.0,1585.0,3007.744479495268,1779734.0,780.0,2281.7102564102565,2378553.0,1715.0,1386.9113702623906,3284553.0,1374.0,2390.504366812227,4237394.0,1336.0,3171.702095808383,2309615.0,1029.0,2244.5238095238096
20170105,2025618.0,1792.0,1130.3671875,4954500.0,2407.0,2058.371416701288,1454915.0,1380.0,1054.286231884058,570703.0,412.0,1385.2014563106795,3835942.0,1535.0,2498.985016286645,1118558.0,872.0,1282.75,1148979.0,1161.0,989.6459948320413,876639.0,631.0,1389.285261489699,3976493.0,1624.0,2448.579433497537,978007.0,783.0,1249.051085568327
20170106,3755482.0,2620.0,1433.390076335878,5078985.0,2495.0,2035.6653306613227,2104366.0,1331.0,1581.0413223140497,1651116.0,1289.0,1280.9278510473234,2802493.0,1285.0,2180.9284046692605,2276492.0,1210.0,1881.398347107438,2357567.0,1671.0,1410.8719329742669,1397915.0,949.0,1473.0400421496313,3968871.0,1698.0,2337.379858657244,1110114.0,797.0,1392.8657465495608
20170109,9350095.0,5526.0,1692.018639160333,12249535.0,4820.0,2541.397302904564,8792417.0,4887.0,1799.1440556578677,557678.0,639.0,872.735524256651,11033413.0,4407.0,2503.6108463807577,1216122.0,413.0,2944.605326876513,4259467.0,3067.0,1388.8056732963807,5090628.0,2459.0,2070.2025213501424,8137412.0,2732.0,2978.554904831625,4112123.0,2088.0,1969.4075670498084
20170110,4914003.0,3440.0,1428.4892441860466,9177675.0,3691.0,2486.500948252506,4174497.0,2842.0,1468.8589021815624,739506.0,598.0,1236.6321070234114,7746847.0,3144.0,2464.0098600508904,1430828.0,547.0,2615.7733089579524,2670703.0,2266.0,1178.5979699911738,2243300.0,1174.0,1910.8177172061328,7172998.0,2439.0,2940.958589585896,2004677.0,1252.0,1601.179712460064
20170111,4683544.0,2712.0,1726.9705014749263,9556634.0,3907.0,2446.0286664960327,4213431.0,2377.0,1772.5835086243164,470113.0,335.0,1403.3223880597016,8130204.0,3494.0,2326.90440755581,1426430.0,413.0,3453.825665859564,2444605.0,1662.0,1470.8814681107099,2238939.0,1050.0,2132.322857142857,6580206.0,2362.0,2785.8619813717187,2976428.0,1545.0,1926.4906148867315
20170112,5360156.0,2996.0,1789.1041388518024,9467290.0,2734.0,3462.798098024872,3976444.0,2225.0,1787.1658426966292,1383712.0,771.0,1794.697795071336,7323199.0,2253.0,3250.421216156236,2144091.0,481.0,4457.5696465696465,3123688.0,1751.0,1783.9451741861794,2236468.0,1245.0,1796.3598393574298,6568524.0,1602.0,4100.202247191011,2898766.0,1132.0,2560.7473498233217
